Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
LTF,8.36E-01,6.54E-01,0.4497,-6.3599,0.27221,NM_002343.2,
IL1RN,8.36E-01,6.56E-01,-0.4464,-6.3613,-0.11798,NM_000577.3,
IFIH1,8.36E-01,6.56E-01,0.44637,-6.3613,0.0843,NM_022168.2,
CD37,8.36E-01,6.57E-01,0.44583,-6.3616,0.15716,NM_001774.2,
CCL13,8.36E-01,6.57E-01,0.44563,-6.3616,0.13214,NM_005408.2,NA
CD163,8.43E-01,6.64E-01,-0.43506,-6.3662,-0.08916,NM_004244.4,
MASP1,8.43E-01,6.65E-01,0.43423,-6.3666,0.12829,NM_139125.3,
CXCL12,8.43E-01,6.66E-01,-0.43233,-6.3674,-0.18321,NM_000609.5,
BMI1,8.43E-01,6.67E-01,-0.43182,-6.3676,-0.05338,NM_005180.5,NA
IFITM2,8.45E-01,6.70E-01,-0.4272,-6.3696,-0.06855,NM_006435.2,
CLEC5A,8.45E-01,6.73E-01,-0.42369,-6.371,-0.12231,NM_013252.2,
CCL17,8.45E-01,6.73E-01,0.42329,-6.3712,0.11678,NM_002987.2,NA
IL22,8.45E-01,6.73E-01,0.42318,-6.3712,0.09505,NM_020525.4,
CLEC4C,8.45E-01,6.74E-01,0.422,-6.3717,0.13386,NM_203503.1,
IL1A,8.48E-01,6.77E-01,0.41748,-6.3736,0.12829,NM_000575.3,
HLA-DMA,8.48E-01,6.78E-01,0.4159,-6.3742,0.0909,NM_006120.3,
CD22,8.49E-01,6.80E-01,0.41384,-6.3751,0.17456,NM_001771.2,
S100A12,8.49E-01,6.81E-01,-0.41238,-6.3757,-0.17849,NM_005621.1,
SERPING1,8.49E-01,6.82E-01,0.41104,-6.3762,0.08196,NM_000062.2,
IFNAR2,8.49E-01,6.84E-01,0.40791,-6.3775,0.04879,NM_000874.3,
NFATC2,8.49E-01,6.85E-01,0.40716,-6.3778,0.08565,NM_012340.3,
STAT3,8.50E-01,6.87E-01,-0.40456,-6.3788,-0.03998,NM_139276.2,
ATG16L1,8.50E-01,6.88E-01,-0.40332,-6.3793,-0.03342,NM_198890.2,NA
CD1C,8.50E-01,6.88E-01,0.40232,-6.3797,0.10357,NM_001765.2,
PRKCD,8.55E-01,6.94E-01,0.39489,-6.3826,0.0381,NM_006254.3,
ITGA1,8.56E-01,6.96E-01,-0.39229,-6.3836,-0.05475,NM_181501.1,
ABCF1,8.56E-01,6.97E-01,-0.39071,-6.3842,-0.0319,NM_001090.2,
IL16,8.56E-01,6.98E-01,0.38969,-6.3846,0.1133,NM_004513.4,
IL23A,8.56E-01,6.99E-01,0.38788,-6.3853,0.11647,NM_016584.2,
SYT17,8.56E-01,7.00E-01,-0.38647,-6.3859,-0.1109,NM_016524.2,
DDX43,8.57E-01,7.02E-01,0.38399,-6.3868,0.12687,NM_018665.2,
CARD9,8.62E-01,7.07E-01,-0.37649,-6.3896,-0.09262,NM_052813.4,NA
IRAK2,8.62E-01,7.08E-01,0.37531,-6.39,0.06943,NM_001570.3,
IL15RA,8.64E-01,7.12E-01,-0.3701,-6.392,-0.06317,NM_002189.2,
CXCR4,8.64E-01,7.13E-01,0.36844,-6.3926,0.09838,NM_003467.2,
MICB,8.64E-01,7.14E-01,0.36724,-6.393,0.0624,NM_005931.3,
XCR1,8.64E-01,7.15E-01,0.36599,-6.3934,0.08597,NM_005283.2,
HRAS,8.64E-01,7.16E-01,-0.36539,-6.3937,-0.04222,NM_005343.2,
BST2,8.67E-01,7.20E-01,0.36005,-6.3956,0.08412,NM_004335.2,NA
MAPK8,8.67E-01,7.20E-01,-0.35944,-6.3958,-0.03607,NM_002750.2,
HLA-DQB1,8.71E-01,7.24E-01,0.3536,-6.3978,0.1661,NM_002123.3,
NFATC1,8.76E-01,7.30E-01,-0.34612,-6.4004,-0.06107,NM_172389.1,
CD164,8.76E-01,7.33E-01,0.34147,-6.402,0.0405,NM_006016.4,
GAGE1,8.76E-01,7.34E-01,0.34071,-6.4022,0.09595,NM_001040663.2,
FCGR3A,8.76E-01,7.34E-01,0.34042,-6.4023,0.09339,NM_000569.6,
ALCAM,8.76E-01,7.36E-01,0.33839,-6.403,0.08838,NM_001627.3,NA
BATF,8.76E-01,7.36E-01,0.33818,-6.4031,0.07391,NM_006399.3,NA
SAP130,8.76E-01,7.37E-01,-0.3373,-6.4034,-0.02725,NM_024545.3,
CD7,8.77E-01,7.39E-01,0.33388,-6.4045,0.08752,NM_006137.6,
TNFSF4,8.77E-01,7.41E-01,-0.33189,-6.4052,-0.07816,NM_003326.2,
PPBP,8.77E-01,7.41E-01,-0.3316,-6.4053,-0.12282,NM_002704.2,
CYBB,8.84E-01,7.48E-01,0.32276,-6.4081,0.08277,NM_000397.3,
TRAF2,8.85E-01,7.49E-01,-0.32061,-6.4088,-0.05647,NM_021138.3,
CCL3L1,8.85E-01,7.51E-01,0.3187,-6.4094,0.09401,NM_021006.4,NA
NEG_D,8.91E-01,7.57E-01,0.3099,-6.4121,0.03262,,ERCC_00076.1
EDC3,8.91E-01,7.58E-01,0.3088,-6.4124,0.02666,NM_001142443.1,
RPS6,8.92E-01,7.60E-01,-0.30613,-6.4132,-0.02974,NM_001010.2,
CCL4,8.92E-01,7.61E-01,0.30527,-6.4135,0.0763,NM_002984.2,NA
USP9Y,8.95E-01,7.65E-01,-0.30029,-6.415,-0.11914,NM_004654.3,
LILRB3,9.03E-01,7.73E-01,-0.2888,-6.4183,-0.07498,NM_006864.2,
C1QBP,9.03E-01,7.74E-01,0.2883,-6.4185,0.02921,NM_001212.3,NA
TCF7,9.04E-01,7.76E-01,-0.28482,-6.4195,-0.06481,NM_003202.2,
IKBKE,9.04E-01,7.77E-01,0.28384,-6.4197,0.04115,NM_014002.2,
IFITM1,9.04E-01,7.79E-01,-0.28107,-6.4205,-0.05665,NM_003641.3,
ITGAX,9.04E-01,7.81E-01,0.27916,-6.421,0.0512,NM_000887.3,
IL18,9.04E-01,7.82E-01,0.27777,-6.4214,0.06149,NM_001562.2,
BAX,9.04E-01,7.83E-01,-0.27639,-6.4218,-0.02484,NM_138761.3,NA
CX3CL1,9.04E-01,7.84E-01,0.27549,-6.422,0.06738,NM_002996.3,
TLR7,9.04E-01,7.85E-01,0.27346,-6.4226,0.06415,NM_016562.3,
CCL28,9.04E-01,7.85E-01,0.27331,-6.4226,0.0718,NM_148672.2,NA
PRAME,9.08E-01,7.90E-01,-0.26663,-6.4244,-0.12076,NM_006115.3,
CASP3,9.09E-01,7.92E-01,0.26402,-6.4251,0.02881,NM_032991.2,NA
ATF1,9.11E-01,7.94E-01,0.26133,-6.4258,0.02372,NM_005171.2,NA
STAT6,9.11E-01,7.96E-01,-0.25893,-6.4264,-0.02166,NM_003153.3,
TNFSF10,9.15E-01,8.00E-01,-0.25369,-6.4277,-0.05298,NM_003810.2,
IFIT1,9.16E-01,8.03E-01,0.25056,-6.4285,0.08,NM_001548.3,
IL2RB,9.16E-01,8.04E-01,0.24849,-6.429,0.05418,NM_000878.2,
RELB,9.18E-01,8.07E-01,0.24455,-6.4299,0.04036,NM_006509.2,
NEG_H,9.18E-01,8.08E-01,-0.24356,-6.4302,-0.02755,,ERCC_00154.1
FLT3LG,9.18E-01,8.13E-01,-0.23685,-6.4318,-0.04105,NM_001459.3,
CD55,9.18E-01,8.15E-01,-0.23514,-6.4322,-0.0512,NM_000574.3,
PIK3CD,9.18E-01,8.15E-01,-0.23404,-6.4324,-0.04173,NM_005026.3,
IL4R,9.18E-01,8.16E-01,-0.23394,-6.4324,-0.032,NM_000418.2,
CARD11,9.18E-01,8.17E-01,0.23209,-6.4329,0.05431,NM_032415.2,NA
FPR2,9.18E-01,8.17E-01,0.23141,-6.433,0.05604,NM_001462.3,
C3,9.18E-01,8.19E-01,0.22909,-6.4336,0.07703,NM_000064.2,NA
TRAF3,9.18E-01,8.21E-01,-0.22737,-6.4339,-0.02055,NM_145725.1,
MAGEA12,9.18E-01,8.21E-01,0.22729,-6.434,0.0541,NM_001166386.1,
OAS3,9.18E-01,8.21E-01,0.22705,-6.434,0.03917,NM_006187.2,
RORA,9.18E-01,8.22E-01,0.22542,-6.4344,0.03194,NM_134261.2,
AIRE,9.18E-01,8.23E-01,0.22457,-6.4346,0.05499,NM_000383.2,NA
TNFRSF4,9.18E-01,8.23E-01,0.224,-6.4347,0.04622,NM_003327.2,
CSF3,9.20E-01,8.28E-01,0.21807,-6.436,0.04362,NM_000759.3,
CFB,9.20E-01,8.30E-01,-0.21507,-6.4366,-0.05056,NM_001710.5,
TNFSF14,9.20E-01,8.31E-01,-0.21443,-6.4368,-0.05528,NM_003807.3,
CCL26,9.20E-01,8.31E-01,-0.21389,-6.4369,-0.07506,NM_006072.4,NA
IL10,9.20E-01,8.32E-01,0.21267,-6.4371,0.05326,NM_000572.2,
TFEB,9.20E-01,8.33E-01,0.21193,-6.4373,0.02971,NM_007162.2,
C1S,9.20E-01,8.34E-01,0.21045,-6.4376,0.04061,NM_001734.2,NA
IFNGR1,9.20E-01,8.34E-01,-0.21001,-6.4377,-0.02552,NM_000416.1,
CD80,9.20E-01,8.36E-01,0.20762,-6.4382,0.05018,NM_005191.3,
MAP2K4,9.22E-01,8.39E-01,0.20389,-6.4389,0.0219,NM_003010.2,
NLRC5,9.24E-01,8.41E-01,-0.20061,-6.4396,-0.03553,NM_032206.4,
TFE3,9.27E-01,8.47E-01,-0.19321,-6.441,-0.01793,NM_006521.3,
FOXP3,9.27E-01,8.48E-01,-0.19266,-6.4411,-0.03727,NM_014009.3,
CD83,9.27E-01,8.50E-01,-0.18996,-6.4416,-0.0365,NM_004233.3,
JAM3,9.27E-01,8.50E-01,-0.18975,-6.4417,-0.03885,NM_032801.3,
MUC1,9.27E-01,8.50E-01,-0.18904,-6.4418,-0.04424,NM_001018017.1,
MPPED1,9.41E-01,8.64E-01,0.17146,-6.4449,0.07513,NM_001044370.1,
HLA-E,9.44E-01,8.69E-01,-0.16593,-6.4458,-0.02207,NM_005516.4,
GPI,9.44E-01,8.70E-01,-0.16417,-6.4461,-0.01982,NM_000175.2,
LAMP3,9.44E-01,8.71E-01,0.16274,-6.4464,0.0333,NM_014398.3,
FCER1G,9.44E-01,8.72E-01,0.16111,-6.4466,0.03151,NM_004106.1,
USP39,9.44E-01,8.73E-01,0.16087,-6.4467,0.02194,NM_001256725.1,
TNF,9.44E-01,8.75E-01,-0.15759,-6.4472,-0.03461,NM_000594.2,
CEACAM1,9.44E-01,8.76E-01,0.15648,-6.4473,0.04458,NM_001712.3,
IL5RA,9.44E-01,8.76E-01,-0.15591,-6.4474,-0.03414,NM_000564.3,
CAMP,9.44E-01,8.78E-01,0.15421,-6.4477,0.0361,NM_004345.3,NA
ISG20,9.46E-01,8.81E-01,-0.14963,-6.4484,-0.02736,NM_002201.4,
ULBP2,9.46E-01,8.84E-01,0.14668,-6.4488,0.04294,NM_025217.2,
TLR9,9.46E-01,8.85E-01,-0.14546,-6.449,-0.02977,NM_017442.2,
IL7R,9.46E-01,8.85E-01,-0.14508,-6.449,-0.03172,NM_002185.2,
SOCS1,9.46E-01,8.86E-01,0.14388,-6.4492,0.02672,NM_003745.1,
IL18RAP,9.46E-01,8.86E-01,0.14315,-6.4493,0.03962,NM_003853.2,
IL34,9.46E-01,8.89E-01,-0.14003,-6.4497,-0.03348,NM_152456.1,
CD14,9.46E-01,8.89E-01,0.13966,-6.4498,0.02215,NM_000591.2,
IRF1,9.50E-01,8.94E-01,0.13321,-6.4507,0.023,NM_002198.1,
C2,9.52E-01,8.99E-01,0.12755,-6.4514,0.02582,NM_000063.3,NA
TGFB2,9.52E-01,9.01E-01,-0.12451,-6.4518,-0.0309,NM_003238.2,
ENTPD1,9.52E-01,9.01E-01,-0.12427,-6.4518,-0.02584,NM_001098175.1,
MAGEA4,9.52E-01,9.01E-01,0.1242,-6.4518,0.05696,NM_001011548.1,
TBP,9.52E-01,9.02E-01,0.12356,-6.4519,0.01137,NM_001172085.1,
EP300,9.52E-01,9.03E-01,0.12209,-6.4521,0.00884,NM_001429.2,
CCL25,9.52E-01,9.04E-01,0.12035,-6.4523,0.03106,NM_005624.2,NA
F13A1,9.53E-01,9.07E-01,0.11711,-6.4527,0.03182,NM_000129.3,
ITGA4,9.56E-01,9.12E-01,-0.11057,-6.4534,-0.02242,NM_000885.4,
RAG1,9.56E-01,9.12E-01,-0.11041,-6.4534,-0.03097,NM_000448.2,
XCL2,9.59E-01,9.16E-01,0.10574,-6.4539,0.02914,NM_003175.3,
IL15,9.61E-01,9.19E-01,0.10137,-6.4543,0.01503,NM_172174.1,
C1QB,9.62E-01,9.21E-01,-0.09924,-6.4546,-0.02314,NM_000491.3,NA
S100A7,9.65E-01,9.26E-01,0.09291,-6.4552,0.0487,NM_002963.2,
G6PD,9.65E-01,9.27E-01,-0.09234,-6.4552,-0.01476,NM_000402.2,
CCL8,9.65E-01,9.28E-01,-0.09022,-6.4554,-0.02241,NM_005623.2,NA
PSEN1,9.65E-01,9.31E-01,0.08677,-6.4557,0.0073,NM_000021.2,
ZNF143,9.65E-01,9.32E-01,0.08498,-6.4559,0.00641,NM_003442.5,
RUNX3,9.65E-01,9.33E-01,-0.08471,-6.4559,-0.01399,NM_004350.1,
CYLD,9.65E-01,9.33E-01,-0.08381,-6.4559,-0.0098,NM_015247.1,
IFI35,9.67E-01,9.37E-01,-0.07876,-6.4564,-0.01249,NM_005533.3,
ATG7,9.67E-01,9.38E-01,-0.07852,-6.4564,-0.01071,NM_001136031.2,NA
IL13RA1,9.67E-01,9.38E-01,0.07739,-6.4565,0.00946,NM_001560.2,
CTLA4,9.67E-01,9.40E-01,-0.0756,-6.4566,-0.01829,NM_005214.3,
APOE,9.70E-01,9.44E-01,0.07036,-6.457,0.02042,NM_000041.2,NA
NOL7,9.70E-01,9.45E-01,0.06869,-6.4571,0.00971,NM_016167.3,
CD207,9.71E-01,9.47E-01,-0.06622,-6.4572,-0.02416,NM_015717.2,
BCL2,9.73E-01,9.51E-01,-0.06165,-6.4575,-0.01762,NM_000657.2,NA
LILRA5,9.74E-01,9.53E-01,0.05903,-6.4577,0.0174,NM_181879.2,
CEACAM6,9.85E-01,9.64E-01,0.04468,-6.4584,0.01433,NM_002483.4,
TREM2,9.87E-01,9.68E-01,0.03987,-6.4586,0.01282,NM_018965.3,
CD40,9.87E-01,9.70E-01,-0.03718,-6.4587,-0.00631,NM_001250.4,
CCL11,9.87E-01,9.70E-01,-0.03717,-6.4587,-0.01219,NM_002986.2,NA
CDH1,9.87E-01,9.72E-01,0.0355,-6.4588,0.00517,NM_004360.2,
COLEC12,9.87E-01,9.74E-01,0.03262,-6.4589,0.01017,NM_130386.2,
IRGM,9.87E-01,9.78E-01,-0.02766,-6.459,-0.00606,NM_001145805.1,
IRAK4,9.87E-01,9.79E-01,0.02672,-6.4591,0.00337,NM_016123.1,
PBK,9.87E-01,9.80E-01,0.02551,-6.4591,0.00702,NM_018492.2,
DNAJC14,9.87E-01,9.80E-01,0.0247,-6.4591,0.0029,NM_032364.5,
DDX58,9.87E-01,9.81E-01,-0.02341,-6.4591,-0.00446,NM_014314.3,
ADA,9.87E-01,9.81E-01,0.02336,-6.4591,0.00308,NM_000022.2,NA
LTK,9.87E-01,9.83E-01,0.02128,-6.4592,0.00595,NM_001135685.1,
TNFRSF11A,9.87E-01,9.83E-01,-0.02091,-6.4592,-0.00562,NM_003839.2,
SDHA,9.88E-01,9.86E-01,0.01713,-6.4593,0.00139,NM_004168.1,
MX1,9.88E-01,9.87E-01,-0.01668,-6.4593,-0.00381,NM_002462.2,
FCGR2A,9.94E-01,9.94E-01,-0.00748,-6.4594,-0.0014,NM_021642.3,
